alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Soupe au pistou, déshydratée reconstituée;30,4;89,4;1,2;5,2;0,35;1,2;4;0,8;1,08;0;0,29;< 0,2;1;0,64;0,4;14;132;-;0,2;-;7;-;-;-;-;0,07;18;-
entrées et plats composés;Soupe de poissons et / ou crustacés, déshydratée reconstituée;29;90,6;0,91;5,09;0,5;1,06;-;0,21;1,15;0;0,14;0,14;-;0,63;-;-;0,01;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe asiatique, avec pâtes, déshydratée reconstituée;29,8;93,3;0,97;5,25;0,44;1,21;-;0,49;0,96;0;0,17;0,17;-;0,84;-;-;37,8;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe marocaine, déshydratée reconstituée;34,3;90;1,2;5,77;0,55;1,49;-;0,72;1,08;0;0,23;0,23;-;0,8;-;-;80,5;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;26,1;92,8;0,63;4,84;0,41;0,91;-;0,28;0,8;0;0,2;0,2;-;0,72;-;-;0,023;-;-;-;30;0,07;-;0,8;0,27;-;-;-
entrées et plats composés;Soupe à la volaille et aux légumes, déshydratée reconstituée;27,3;-;0,99;4,58;0,44;0,55;-;0,51;0,73;0;0,17;0,17;-;0,73;-;-;-;-;-;-;3;-;-;-;-;0,03;8;-
entrées et plats composés;Bouillon de boeuf, déshydraté reconstitué;9,05;97,6;0,6;1,33;0,15;0,33;0;0;1,03;0;0,26387;0,057;0;0,74;0,15;2;0,01;0;0,01;0;0;0,0029;0,015;0,55;0,016;0,0083;1,75;0,065
entrées et plats composés;Soupe aux asperges, déshydratée reconstituée;35,3;90,8;0,6;5,14;1,31;0,99;2,8;0,28;0,91;0;0,73;0,73;-;0,76;-;-;0,035;-;-;-;-;-;-;-;-;-;10;-
entrées et plats composés;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;37,7;-;1,1;5,87;0,8;3,43;-;1,3;0,77;0;0,5;0,5;-;0,77;-;-;-;-;-;-;20;-;-;-;-;-;-;-
entrées et plats composés;Soupe aux céréales et aux légumes, déshydratée reconstituée;47,8;90;1,4;6,8;1,4;1,2;-;1,2;1,04;0;0,8;0,8;-;0,78;0,29;9,35;94;-;-;-;3,84;0,04;-;0,47;-;0,07;16,8;-
entrées et plats composés;Soupe à la tomate, déshydratée reconstituée;36,2;90,4;0,76;5,79;0,97;2,44;2,4;0,64;1,03;0;1,7782;0,32;2,02;0,69;0,14;5;65;-;0,25;1,33;< 0,5;0,02;0,017;0,46;0,064;0,027;6,85;0,14
entrées et plats composés;Soupe aux champignons, déshydratée reconstituée;37,8;91,3;0,65;4,37;1,79;0,63;2,3;0,82;1,06;0;2,965;0,73;0,87;0,79;0,02;2,5;48;< 0,25;0,24;< 0,8;< 0,5;0,03;0,034;0,37;0,16;0,033;8,25;0,028
entrées et plats composés;Soupe à l'oignon, déshydratée reconstituée;24;94,1;0,58;4,37;0,4;1,3;-;0,31;1,03;0;0,23;0,23;-;0,79;-;5,26;56,7;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe au potiron, préemballée à réchauffer;35,9;91,8;0,67;4,13;1,56;2,37;1,1;1,31;0,95;0;2,839;0,88;4,95;0,65;0,14;5,8;130;0;0,51;1,03;< 0,5;0,018;0,014;< 0,1;0,13;0,065;9,35;0,036
entrées et plats composés;Bouillon de volaille, déshydraté reconstitué;5,58;97,4;0,6;0,5;0,13;0,18;0;< 0,0001;1,44;0;0,153;0,083;0;0,78;0,05;1;10;-;-;-;0;0,005;0,01;0,1;0,02;0;1;0,01
entrées et plats composés;Bouillon de légumes, déshydraté reconstitué;5,38;98;0,34;0,65;0,16;0,19;0,2;0;1;0;0,1577;0,14;0;0,61;0,1;2;8;-;-;-;0;0,11;0,01;0,1;-;0;1;0
entrées et plats composés;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;21,6;92,2;0,63;4,21;0,18;0,72;3,5;0,32;0,88;0;0,099;0,099;< 0,7;0,68;0,18;4,8;62;< 0,25;0,34;< 0,8;< 0,5;0,02;0,04;1,44;1,04;0,018;11;-
entrées et plats composés;Soupe à la volaille et aux vermicelles, déshydratée reconstituée;21,3;94,2;0,75;3,87;0,25;0,31;3,4;0,26;0,74;0;0,081;0,081;0,72;0,68;0,1;3,5;36;-;< 0,08;< 0,8;< 0,5;0,28;< 0,01;< 0,1;0,041;0,025;-;0,026
entrées et plats composés;Soupe au pistou, préemballée à réchauffer;31,9;-;2;4,1;0,5;< 0,25;-;1,5;0,9;0;0,4;0,2;-;0,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-
