alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
viandes, œufs, poissons et assimilés;Saucisse de volaille, type Knack;236;64;14;1,82;18,9;1,01;0;0;2,42;0;34,45;5,34;-;1,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse de Francfort;271;56,7;13,7;1,24;23,4;1;0,24;< 0,5;2,55;0;44,314;9;73,1;2;0,91;11,9;164;0,26;0,1;-;-;0,29;0,2;2,47;-;0,11;1,6;0,42
viandes, œufs, poissons et assimilés;Merguez, crue;316;56,2;13,5;2,5;28;2;-;0;2,78;0;11,2;11,2;-;1,48;-;23,3;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Merguez, pur boeuf, crue;-;39,8;11;-;43,5;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Merguez, porc et boeuf, crue;-;42,5;11,5;-;41;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Merguez, boeuf, mouton et porc, crue;-;51,7;14,6;-;33,3;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Merguez, boeuf et mouton, cuite;283;54,8;19,8;1,8;21,8;1,6;< 1;0;3,93;0;39,293;12;71,4;2,33;2,04;22,8;513;< 0,5;1,7;-;< 1;0,059;0,2;4,7;0,26;0,24;< 20;1,45
viandes, œufs, poissons et assimilés;Merguez, boeuf et mouton, crue;315;-;14;2,8;27,6;0;-;0;1,58;0;0;-;-;1,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse de foie;374;50,7;11,7;0,9;35,9;0,9;0;0,3;2,5;0;30,03;12;128;2,03;5,3;-;143;1,09;2,15;-;2;0,24;0,92;3,6;-;0,17;23;-
viandes, œufs, poissons et assimilés;Diot, cru;-;-;18;-;30;-;-;0;2,25;0;0;-;-;2,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse de Strasbourg ou Knack;291;57,9;12,4;1,39;25,9;1,06;-;1,37;2,73;0;48,094;10,9;73,1;2,21;1,12;13,4;204;0,26;0,38;-;9,4;0,29;0,2;2,47;-;0,11;1,6;0,42
viandes, œufs, poissons et assimilés;Saucisse cocktail;290;59,5;12,7;1,46;25,9;1,09;-;0,27;2,57;0;47,148;9,59;64,7;2,1;0,65;20;305;< 0,5;0,1;0;8,8;0,2;0,14;2,43;0,3;0,13;24,2;0,8
viandes, œufs, poissons et assimilés;Saucisse viennoise, crue;-;56,8;10,3;-;21,3;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse de jambon pur porc;224;60,8;15,7;1;17,5;0,7;-;0;2,06;0;6,8;6,8;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse de bière;-;53,6;13;-;29,7;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse de langue à la pistache;-;55,6;15,3;-;25,8;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisse (aliment moyen);281;55,8;17,3;0,88;23;0,65;0,17;0,29;3,02;0;42,475;9,44;78,5;2,05;1,15;19,1;438;0,31;0,6;;5,3;0,31;0,17;4,06;0,52;0,18;6,18;0,7
viandes, œufs, poissons et assimilés;Confit de foie de porc;346;42,9;16;14,1;25;1;-;0,5;1,51;0;9,5;9,5;-;1,51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Confit de foie de volaille;356;46,7;14;7,42;30;-;-;0;1,93;0;11;11;-;1,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté au poivre vert;358;48,1;10,1;1,45;34,6;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté au jambon;-;56,6;15,2;-;28,6;0,52;-;traces;0,22;0;0;-;-;0,18;-;26;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté ou terrine de campagne;323;52,2;15,5;1,5;28,2;0,62;0,88;0;2,18;0;51,29;10,4;148;1,54;6,1;15,4;212;0,2;0,38;-;5,9;0,14;0,8;6,8;-;0,19;24;3,94
viandes, œufs, poissons et assimilés;Pâté breton;363;50;11;2,88;34;1;-;0,5;1,67;0;13;13;-;1,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Terrine de canard;320;50,7;13,2;4,44;27,1;1,3;-;1,75;2,09;0;49,83;9,91;161;1,39;5,2;16;210;0,75;0,89;1,43;12,9;0,17;0,41;7,97;2,49;0,14;343;13,6
viandes, œufs, poissons et assimilés;Pâté de lapin;247;61,5;16,3;0,00027;20,2;-;-;0;2,09;0;11;8,8;74,8;1,53;3,05;26;311;0,47;0,4;-;0,74;0,23;0,14;5,03;-;0,27;-;1
viandes, œufs, poissons et assimilés;Terrine de lapin;281;53,8;16,5;5,67;21,2;0,95;-;1;1,84;0;7,9;7,9;-;1,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté de gibier;284;-;15;4;23;2;-;0,5;1,53;0;9;9;-;1,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté ou terrine aux champignons (forestier);329;50,8;12,6;5,93;28,1;1,95;-;0,58;1,91;0;10,6;10,6;-;1,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté de foie de porc, supérieur;341;47,6;13;2,4;31;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;10,5;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté de foie de porc;355;50,7;10,8;2,91;33,3;1,38;-;0,2;2,09;0;56,136;11,6;127;1,68;6,08;14,1;180;0;1,07;-;21,3;0,2;1,11;5,6;1,67;0,2;252;9,9
viandes, œufs, poissons et assimilés;Mousse de foie de porc supérieure ou Crème de foie;322;49,8;11,1;10,3;26,1;2,18;-;0,72;1,99;0;10,5;10,5;-;1,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Mousse de foie de porc;287;56,5;12;3,39;24,9;1,89;1,26;0,75;2,53;0;45,4555;9,34;132;1,72;4,02;11,7;180;0,26;0,41;-;-;0,11;-;5,11;-;0,16;9,84;3,11
viandes, œufs, poissons et assimilés;Mousse de canard;395;44,4;10,1;7,07;36,1;2,05;-;0,45;1,87;0;39,02;13,7;-;1,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Pâté de foie de volaille;269;59,8;13,8;1,96;22,9;0,81;-;0;1,53;0;23,87;7,12;391;1,22;9,19;13;95;0;0,98;0;10;0,052;1,4;7,52;2,62;0,26;321;8,07
viandes, œufs, poissons et assimilés;Pâté de foie d'oie;459;37;11,4;4,67;43,8;-;-;0;3,05;0;55,29;14,5;150;1,74;5,5;13;138;-;-;-;2;0,088;0,3;2,51;1,2;0,06;60;9,4
viandes, œufs, poissons et assimilés;Pâté (aliment moyen);325;51,2;13,6;4,61;27,9;1,23;3,75;0,29;2,09;0;49,893;10,4;145;1,58;5,58;15,3;193;0,17;0,58;;9,08;0,15;0,81;6,07;;0,19;93,8;5,11
viandes, œufs, poissons et assimilés;Pâté en croûte;292;45,4;11;22,9;17,1;3,47;17,8;1,5;2,15;0;31,989;8,33;60,4;1,83;1,1;15,8;151;< 0,5;0,41;-;4,5;0,17;0,26;2,7;0,41;0,091;30;0,72
viandes, œufs, poissons et assimilés;Rillettes traditionnelles de porc;390;46,3;14,3;0,2;36,9;-;-;traces;1,75;0;50,672;14,6;76,2;1,6;1;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Rillettes pur porc;414;44;16,7;0,13;38,3;< 0,2;< 0,35;< 0,5;1,61;0;69,91;15,2;84,1;0,97;0,91;15;240;0,48;1,13;0,99;< 0,5;0,069;0,045;3,32;0,59;0,086;14,3;1,06
viandes, œufs, poissons et assimilés;Rillettes de Tours;522;-;18;traces;50;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Rillettes du Mans;420;40;15,6;4,7;37,6;0,13;-;0,21;1,89;0;39,35;14,8;-;1,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Rillettes pur oie;417;-;14,7;traces;39,8;-;-;traces;1,3;0;0;-;-;1,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Rillettes de canard;377;47,3;15,3;1,03;34,6;traces;-;traces;1,82;0;63,61;11,2;131;1,25;1,6;19;210;< 0,25;0,6;85,4;106;< 0,015;0,069;3,05;0,69;0,086;15;1,76
viandes, œufs, poissons et assimilés;Rillettes d'oie;364;48,9;14,9;0,99;33,4;-;-;traces;1,77;0;61,61;9,82;101;1,29;1;13;200;2,53;< 0,08;< 0,8;19,3;0,025;0,058;2,97;0,4;0,082;11,6;0,99
viandes, œufs, poissons et assimilés;Rillettes de poulet;340;52,2;16,4;0,49;30,3;0,36;-;0,25;1,97;0;29,35;10,7;-;1,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Quenelle de veau, en sauce;165;68,8;3,52;15,6;9,5;0,94;-;1,39;1,17;0;4,56;4,56;-;1,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Quenelle de volaille, crue;187;-;9,3;14,1;10,1;1,2;-;1,1;0,74;0;1,5;1,5;-;0,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Quenelle de volaille, en sauce;138;-;3,55;10,3;8,92;1,92;-;1,2;1,1;0;4,95;4,95;-;1,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Quenelle de poisson, en sauce;135;-;3,79;10,5;8,51;0,97;-;0,72;1,4;0;8,678;3,95;-;1,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Quenelle de poisson, crue;245;52,3;8,1;23,6;12,7;1,9;-;2,15;1,2;0;16,999;8,2;50,1;0,95;0,84;11,9;98,8;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Quenelle de poisson, cuite;-;65,4;5,72;-;13,1;-;-;-;1,25;0;23,249;6,03;24,9;0,8;0,71;11,8;145;0,69;1,26;-;-;0,047;0,076;0,45;0,37;0,045;30,5;0,29
viandes, œufs, poissons et assimilés;Quenelle nature, crue;217;-;7,68;14,8;13,7;2,15;-;2,15;1,31;0;0;-;-;1,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Confit de canard, viande (cuisse), sans peau, réchauffé;195;58;32;traces;7,4;-;-;0;2,69;0;13,5;2,31;112;1,89;2,3;17;300;1,14;0,59;< 0,8;< 0,5;0,043;0,23;5,16;0,92;0,18;23,8;4,24
viandes, œufs, poissons et assimilés;Confit de canard;273;49,7;25,7;0,15;18,8;0,14;< 1;0,4;2,11;0;27,465;7,26;132;1,44;2,7;18,8;241;1,8;0,46;-;< 1;0,056;0,34;7,1;0,74;0,3;< 20;2,95
viandes, œufs, poissons et assimilés;Canard, magret fumé;364;-;21,9;0,55;30,5;0,55;-;0;5,63;0;11,3;11,3;-;3,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Foie gras, canard, entier, cuit;535;35,1;8,41;2,32;54,6;1,71;-;0,35;1,53;0;54,13;23;1040;1,11;4,13;9,33;135;0,2;-;-;31;-;-;-;-;0,3;-;15
viandes, œufs, poissons et assimilés;Foie gras, canard, bloc, sans morceaux;482;40,8;5,75;2,1;50;1,47;0;0,35;2,06;0;47,03;19,7;395;1,14;5,2;8,4;130;2,75;2,4;-;14,7;0,1;0,57;5,8;2,15;0,95;142;4,55
viandes, œufs, poissons et assimilés;Foie gras, canard, bloc, 30% de morceaux;489;39,1;6,88;2,43;50,1;1,41;-;0;1,67;0;71,673;21,6;-;1,29;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Foie gras, canard, bloc, 50% de morceaux;479;38,5;6,39;2;49,5;1,2;-;0;1,38;0;47,15;20,2;-;1,29;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Foie gras de canard, cru;600;-;5,94;1,41;63,4;1,14;-;0;0,54;0;28,1;28,1;-;0,52;6,4;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Foie gras, canard, bloc (aliment moyen);489;39,1;6,88;2,43;50,1;1,41;;0;1,67;0;71,798;21,6;;1,29;2,1;;;;;;;;;;;;;
viandes, œufs, poissons et assimilés;Galantine (aliment moyen);279;57;15,2;1,57;23,4;0,85;;0,67;2,97;0;32,461;9,78;;2,04;2,3;9;230;;;;5;0,16;0,22;2,6;;;;
viandes, œufs, poissons et assimilés;Roulade de porc pistachée;258;54,5;17,7;0,7;20,2;0,7;-;1,2;2,5;0;7,8;7,8;-;2,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Oeuf au jambon en gelée;-;81,9;11,5;-;4,7;-;-;-;1,6;0;0;-;-;1,35;1;7,1;113;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Jambon en croûte;193;52,2;14,1;17,8;7;2,3;13,2;1,1;3,11;0;6,67;2,38;48,4;2,11;0,96;19,5;280;0,46;1,03;-;7,21;0,5;0,16;3,34;0,38;0,23;4,14;0,52
viandes, œufs, poissons et assimilés;Fromage de tête;173;67,7;14,1;0,2;12,9;0;0;0;2,08;0;23,915;4,37;61;1,91;1,23;9;69;0,9;0,17;3,4;0;0,26;0,11;0,77;0,9;0,14;2,5;0,78
viandes, œufs, poissons et assimilés;Museau de porc vinaigrette;185;74,7;8,22;1,02;16,3;0,62;-;0,55;2,15;0;29,441;4;587;1,75;1,4;7,8;97;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Museau de boeuf;151;66,1;26,2;0;5,17;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Andouille;211;60,5;18,4;0,3;15,1;-;-;traces;2,55;0;0;-;-;2,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Andouille de Guéméné;234;-;18;traces;18;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Andouille, réchauffée à la poêle;271;55,5;22,5;0;20;< 0,2;< 1;< 1;3,35;0;37,189;9,29;330;2,82;2,4;12,2;104;< 0,5;0,48;-;< 1;0,056;0,28;1,55;0,48;0,12;< 20;1,35
viandes, œufs, poissons et assimilés;Andouille de Vire;238;-;19;traces;18;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Andouillette, à cuire;227;63;18,8;1;16,3;< 0,5;0,33;0,71;1,76;0;23,064;6,94;284;1,46;1,67;12,5;55,6;< 0,25;0,39;-;-;0,028;0,15;0,81;-;< 0,1;1,2;0,49
viandes, œufs, poissons et assimilés;Andouillette, sautée/poêlée;303;48,7;24,5;1;22,3;< 0,2;< 1;< 1;3,48;0;43,72;11,1;344;2,73;2,3;9,6;64;< 0,5;0,41;-;< 1;0,035;0,15;0,96;0,24;0,09;< 20;0,91
viandes, œufs, poissons et assimilés;Andouillette de Troyes, à cuire;254;59,9;19,7;0,5;19;< 0,5;-;0,9;2,4;0;26,83;7,91;310;1,97;2,8;9,4;58,4;< 0,25;0,55;-;-;0,02;-;0,8;-;< 0,1;< 2;0,5
viandes, œufs, poissons et assimilés;Boudin noir, à cuire;313;56;12,2;4,5;27,1;1,12;0,56;1,42;1,85;0;36,618;9,57;82,5;1,29;17,4;6,84;162;< 0,25;0,12;-;-;0,034;0,13;0,41;-;< 0,1;2,22;0,19
viandes, œufs, poissons et assimilés;Boudin noir, sauté/poêlé;246;61,8;11,9;3,78;20,3;2,86;0,5;0;1,92;0;37,04;7,46;73,8;1,31;22,8;8,5;155;0,75;0,13;0;0;0,052;0,062;0,53;< 0,16;0,094;25,4;0,2
viandes, œufs, poissons et assimilés;Boudin, sauté/poêlé (aliment moyen);246;61,3;11,3;4,02;19,4;2,6;0,5;0;2,01;0;36,2153;7,2;70,1;1,41;16,1;9,22;157;0,71;0,23;0;0,075;0,084;0,085;0,93;0,17;0,097;24;0,3
viandes, œufs, poissons et assimilés;Boudin antillais, à cuire;-;63,9;11,5;9,2;16,5;5,1;-;-;1,95;0;6,9;6,9;-;1,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Boudin blanc, sauté/poêlé;-;60,1;9,89;4,6;17,1;2;-;-;2,23;0;31,4919;6,6;61,4;1,64;0,45;10,9;160;0,61;0,46;-;< 0,5;0,16;0,14;1,87;0,38;0,11;20,7;0,54
viandes, œufs, poissons et assimilés;Boudin blanc, à cuire;-;64,2;10;-;21;3,64;-;-;2,01;0;20,04;7,89;-;1,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Boudin blanc truffé, à cuire;227;58,8;11,3;4,8;17,8;1,7;-;1,4;1,69;0;7,4;7,4;-;1,48;1,9;15,1;142;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Museau de boeuf en vinaigrette;167;-;11,3;1;13,1;0,5;-;traces;1,59;0;1,5;1,5;-;1,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Lardon nature, cru;270;56,9;16,6;1,01;22,1;0,78;-;0,38;4,15;0;40,109;7,91;60,7;2,72;0,42;15,6;540;0,75;0,3;0;0,8;0,42;0,16;4,87;0,4;0,21;< 2;0,38
viandes, œufs, poissons et assimilés;Poitrine de porc, fumée, crue;303;53,9;15,6;0,79;26,1;0,75;-;1;4,18;0;47,034;9,39;-;2,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Bresaola;165;57,1;31,6;0;4,3;0;0;0;4,66;0;4,1;2,04;65;3,46;7,1;-;323;0,5;0,13;-;0;0,12;0,6;2,4;-;0,53;19;-
viandes, œufs, poissons et assimilés;Lardon nature, cuit;324;48,2;23,8;2;24,5;-;0;0;4,56;0;43,726;12,6;80,6;3,8;0,5;22;572;< 0,5;0,24;-;-;0,59;0,16;6,9;0,8;0,42;< 16;0,67
viandes, œufs, poissons et assimilés;Corned-beef, appertisé;188;63,4;23,1;< 0,1;10,5;< 0,2;-;< 1,5;2,47;0;18,709;4,54;75,5;1,95;2,24;14;244;0,2;0,15;1,6;0;0,055;0,19;3,32;0,63;0,13;9;1,62
viandes, œufs, poissons et assimilés;Oreille de porc demi-sel;228;61,3;22,5;0,6;15,1;-;-;0;0,6;0;19,25;5,39;82;0,48;2,4;7;55;-;-;-;0;0,08;0,11;0,78;0,068;0,02;0;0,07
viandes, œufs, poissons et assimilés;Pied de porc demi-sel;137;75;11,6;0,01;10;0;-;0;3,35;0;18,138;2,95;83;2,37;0,31;11;13;0,4;0,21;0;0;0,006;0,015;0,22;0,26;0,007;1;0,21
viandes, œufs, poissons et assimilés;Poitrine de porc demi-sel;268;56,5;16,8;0,75;22;0,6;-;0;4,61;0;23,69;8,3;-;2;0,52;16;256;-;0,34;-;-;0,85;0,24;10,2;-;0,3;2,19;0,83
viandes, œufs, poissons et assimilés;Lardon fumé, cru;275;55,7;16,7;0,96;22,6;0,8;-;0,34;4,29;0;40,6636;8;60,1;2,63;0,6;23,8;596;0,48;0,19;0;0,9;0,38;0,11;4,9;0,44;0,25;21,1;0,42
viandes, œufs, poissons et assimilés;Lardon fumé, cuit;261;54,6;14,7;0,8;22,1;0,8;-;0;3,78;0;40,382;8,25;55,5;2,59;0,82;21;428;1,1;0,34;0;0;0,43;0,2;6,92;0,52;0,45;4;0,78
viandes, œufs, poissons et assimilés;Viande des Grisons;209;49,5;38,9;1;5,47;1;-;0;5,5;0;7,5512;2,52;91,9;3,83;1,8;46,6;660;< 0,5;< 0,01;-;< 0,5;0,062;0,26;11,8;1,33;0,7;33,9;2,39
viandes, œufs, poissons et assimilés;Haché de volaille;137;-;17,7;3,5;5,68;1,4;-;0,63;1,3;0;1,88;1,88;-;1,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Rôti de volaille en salaison, cuit;110;-;22;1,28;1,73;0,97;-;0,44;2;0;0,55;0,55;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Chorizo;433;34;23,5;3,05;36,1;2,01;-;0,93;4,24;0;64,972;14,3;-;4,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Chorizo supérieur, doux ou fort, type saucisse sèche;476;28;20,9;2,6;41,9;2,6;0;0;5,13;0;76,61;16;111;3,91;1,8;27;490;0,83;2,25;-;-;0,39;0,22;6,14;1,24;0,27;51,4;1,11
viandes, œufs, poissons et assimilés;Chorizo supérieur, doux ou fort, type charcuterie en tranches;322;43,6;22,6;2,1;23,9;2,1;0;0;5,48;0;43,8;8,8;75;4,3;1,4;30;650;0,73;1,6;-;-;0,35;0,21;4,92;1,19;0,32;49,1;0,82
viandes, œufs, poissons et assimilés;Salami;451;33,2;17,7;1,05;41,8;< 0,2;< 0,1;traces;4,71;0;76,49;16,2;95,9;4,05;1;15;300;0,68;1,26;< 0,8;3,61;0,3;0,17;3,52;1,02;0,24;8,54;1,58
viandes, œufs, poissons et assimilés;Salami pur porc;400;36,2;22,6;1,6;33,7;-;-;0;6,3;0;43,36;11,9;79;5,65;1,3;22;378;-;-;-;0;0,93;0,33;5,6;1,06;0,55;2;2,8
viandes, œufs, poissons et assimilés;Salami porc et boeuf;351;43,2;21,5;1,56;28,8;0,61;-;0;5,02;0;51,847;10,4;98,5;4,37;1,46;19,5;340;0,95;0,43;3,2;0;0,38;0,28;6,08;1,11;0,45;3;1,34
viandes, œufs, poissons et assimilés;Salami type danois;459;36,8;17;1,35;42,9;0,56;-;0;4,75;0;38,5;15,4;75;4,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisson à l'ail;280;57,2;15;1,63;23,6;0,86;-;0,63;3;0;32,526;9,92;-;2;2,3;9;230;-;-;-;5;0,16;0,22;2,6;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisson cuit pur porc;322;52,1;13,8;1,3;29;-;-;traces;1,9;0;0;-;-;1,9;-;-;-;-;-;-;5;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisson de Paris;346;50,6;12,5;0,6;32,7;0,5;-;traces;2,23;0;3,5;3,5;-;1,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisson de Paris, fumé;288;57,3;13,7;0,6;25,6;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisson brioché, cuit;309;42,4;14,7;22,6;17,4;3,8;15,8;2;2,64;0;31,442;8,6;86,4;1,38;1,1;21;240;< 0,5;0,76;< 0,8;-;0,3;0,14;2,66;1,02;0,18;12;0,54
viandes, œufs, poissons et assimilés;Cervelas;278;61,1;11,9;1,56;24,8;0,63;-;0,4;2,92;0;46,491;9,37;66,8;1,95;0,5;20,4;187;< 0,5;0,56;-;18,1;0,21;0,11;3,43;0,43;0,17;32,9;0,61
viandes, œufs, poissons et assimilés;Cervelas obernois;305;-;13;1;27,5;0,6;-;0,6;2;0;11,5;11,5;-;2;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Cervelas à l'ail, pur porc;297;55,3;12,5;0,2;27,4;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Mortadelle;305;55,1;15;1,4;26,7;0;-;0;2,97;0;46,237;10,6;72,5;2,13;0,8;26,9;270;0,78;0,5;-;-;0,33;0,16;4,09;0,52;0,25;31,5;0,68
viandes, œufs, poissons et assimilés;Mortadelle, pur porc;298;52,3;14,8;1,55;25,8;1;0;0;2,58;0;24,63;9,85;70;2,14;1,1;-;236;-;0,09;-;0;0,19;0,26;3,6;-;0,08;4;-
viandes, œufs, poissons et assimilés;Mortadelle, porc et boeuf;297;52,3;16,4;0,7;25,4;0;0;0;3,41;0;33,39;9,51;56;3,12;1,4;11;163;1;0,22;1,6;0;0,12;0,15;2,67;0,44;0,13;3;1,48
viandes, œufs, poissons et assimilés;Mortadelle pistachée pur porc;320;53,2;14,4;1,16;28,2;0,48;-;1,97;2,88;0;27;11,4;-;2,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-
viandes, œufs, poissons et assimilés;Saucisson de cheval type cervelas;-;57,6;14,2;-;20;1,4;-;0;3,23;0;36,19;7,1;48,2;2,46;1,9;13;200;< 0,25;0,9;-;-;0,059;0,064;2,04;0,41;0,15;6,18;2,18
viandes, œufs, poissons et assimilés;Spécialité végétale type jambon cuit, préemballée;242;50,2;29,7;4,13;11,1;0,93;1,5;3,2;1,86;0;20,89;0,89;-;1,62;1,4;24;100;< 0,25;7,47;< 0,8;< 0,5;0,088;0,098;0,9;0,4;0,027;27,7;-
viandes, œufs, poissons et assimilés;Spécialité végétale type pâté, préemballée;197;66,7;3,56;9,45;15,4;1,49;7,3;2,96;1,84;0;29,07;4,13;-;1,27;1,3;23;170;< 0,25;4,87;8,46;< 0,5;0,05;0,096;1,31;0,35;0,053;14,7;-
viandes, œufs, poissons et assimilés;Saucisse végétale au tofu (convient aux véganes ou végétaliens), préemballée;231;60,4;13,4;5,69;16,3;0,5;2,4;< 3;2,59;0;30,75;1,95;-;1,68;2;58;120;< 0,25;7,78;12,8;< 0,5;0,042;0,026;0,18;0,19;0,027;17,3;-
viandes, œufs, poissons et assimilés;Quenelle au tofu (ne convient pas aux véganes ou végétaliens), préemballée;136;73,3;11;4,97;7,2;0,97;2,8;< 3;1,86;0;13,49;1,13;3,28;1,01;1,4;41;130;< 0,25;1,28;20,4;< 0,5;0,027;< 0,1;0,15;0,2;0,038;28,3;< 0,01
viandes, œufs, poissons et assimilés;Saucisse végétale au blé ou seitan, préemballé;250;47,7;27,1;7,53;10,5;1,74;1,8;4,6;2,44;0;19,87;2,79;-;1,82;1,7;32;200;< 0,25;5,92;2,29;< 0,5;0,11;0,16;0,49;0,46;0,078;40,6;-
